pais,codigo,indicador,codigo_indicador,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en África al sur del Sahara (% del total de mercaderías exportadas),TX.VAL.MRCH.R6.ZS,0.710523396,0.832110597,0.581271418,0.423242162,0.619361447,0.679724984,0.491052765,0.629450041,0.566513935,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en Asia meridional (% del total de mercaderías exportadas),TX.VAL.MRCH.R5.ZS,0.641993333,0.554330517,0.876451387,1.432148988,0.866937573,2.065352778,2.533553124,4.453162205,5.200016773,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en Oriente Medio y Norte de África (% del total de mercaderías exportadas),TX.VAL.MRCH.R4.ZS,0.270637507,0.197455719,0.1594604,0.092687038,0.097432878,0.135769604,0.063689321,0.059814579,0.079087353,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en América Latina y el Caribe (% del total de mercaderías exportadas),TX.VAL.MRCH.R3.ZS,12.11924659,12.19969381,13.1967871,14.22401705,16.22852802,13.6431341,13.46189829,10.74567727,10.74449016,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en Europa y Asia central (% del total de mercaderías exportadas),TX.VAL.MRCH.R2.ZS,1.365805129,1.313632481,0.985634236,1.26949772,1.129189267,0.870722789,0.828296857,0.990939483,1.070897482,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo en Asia oriental y el Pacífico (% del total de mercaderías exportadas),TX.VAL.MRCH.R1.ZS,16.50722752,16.38965339,18.21093719,18.66390019,19.46867468,23.05199955,24.19704415,28.0398469,28.95782947,
Perú,PER,Mercaderías exportadas hacia economías en desarrollo fuera de la región (% del total de mercaderías exportadas),TX.VAL.MRCH.OR.ZS,19.49618688,19.2871827,20.81375463,21.8814761,22.18159584,26.80356971,28.11363622,34.17321321,35.87434502,
Perú,PER,Mercaderías exportadas hacia economías de ingreso alto (% del total de mercaderías exportadas),TX.VAL.MRCH.HI.ZS,67.64943932,67.85080964,65.1028877,63.32028261,61.10869893,59.26679628,57.90647752,54.55153068,52.86231008,
Perú,PER,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,35803000000,46376000000,47411000000,42861000000,39533000000,34415000000,37082000000,45422000000,49068000000,
Perú,PER,Exportaciones de mercadería hacia economías en el mundo árabe (% del total de exportaciones de mercadería),TX.VAL.MRCH.AL.ZS,0.318653607,0.227786281,0.196081393,0.286544841,0.447154401,0.335424846,1.287865097,1.484407207,1.027530801,
Perú,PER,Exportaciones de metales y minerales (% de las exportaciones de mercaderías),TX.VAL.MMTL.ZS.UN,53.25717243,51.06625033,49.78068534,48.60397507,45.73691108,48.56236488,52.33829563,55.13657117,53.54195151,
Perú,PER,Exportaciones de productos manufacturados (% de las exportaciones de mercaderías),TX.VAL.MANF.ZS.UN,13.69395646,13.61447383,14.53310401,14.45651339,14.76391857,14.95098992,13.13828964,11.38829977,11.28643529,
Perú,PER,Seguro y servicios financieros (% de las exportaciones de servicios comerciales),TX.VAL.INSF.ZS.WT,7.174556218,8.685888115,10.44900615,9.33866173,11.04995842,12.33830182,10.65723926,18.40591652,10.95741992,
Perú,PER,Exportaciones de productos de TIC (% de las exportaciones de productos),TX.VAL.ICTG.ZS.UN,0.080390794,0.054626759,0.077368787,0.123431183,0.096959846,0.151172908,0.096501739,0.090930277,,
Perú,PER,Exportaciones de combustible (% de exportaciones de mercaderías),TX.VAL.FUEL.ZS.UN,11.91518067,13.48009329,14.66475754,16.06432449,14.44584789,8.683175185,7.843905056,9.461935628,10.44897062,
Perú,PER,Exportaciones de alimentos (% de exportaciones de mercaderías),TX.VAL.FOOD.ZS.UN,19.8202992,20.6765931,19.90285231,19.61858735,23.61184912,26.31800852,25.46386953,23.07468348,23.79082452,
Perú,PER,Exportaciones de materias primas para la actividad agrícola (% de mercaderías  importadas),TX.VAL.AGRI.ZS.UN,1.294357053,1.139237589,1.090622267,1.222911512,1.420365208,1.464307676,1.203837971,0.925876889,0.925851854,
Perú,PER,Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD,302.6753632,367.901535,359.7448122,339.2789236,316.0185193,268.5489507,258.7748817,287.6745196,306.3582686,
Perú,PER,Índice del volumen de exportaciones (2000 = 100),TX.QTY.MRCH.XD.WD,170.079438,181.246577,189.4913812,181.6394679,179.8673104,184.2607352,206.0390394,227.024821,230.2911433,
Perú,PER,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,5.248406232,5.147262535,5.739368922,6.154026558,6.814303214,7.162850051,5.682932286,4.632054783,,
Perú,PER,Índice de términos netos de intercambio (2000 = 100),TT.PRI.MRCH.XD.WD,182.5137301,195.2516033,190.8531488,180.9423779,171.1410956,160.1799951,159.0808727,167.8367459,178.6121559,
Perú,PER,Servicios de viaje (% de las importaciones de servicios comerciales),TM.VAL.TRVL.ZS.WT,21.6214016,21.32258507,19.42767499,20.36738967,20.20669893,22.86951749,24.93672568,25.57793906,27.4526595,
Perú,PER,Servicios de transporte (% de las importaciones de servicios comerciales),TM.VAL.TRAN.ZS.WT,41.58148332,39.6949051,38.4853408,36.98765678,35.84986154,33.83335598,31.45142576,31.9133285,29.93933782,
Perú,PER,Importaciones de servicios comerciales (US$ a precios actuales),TM.VAL.SERV.CD.WT,5899850410,6359204771,7406342652,7815689167,7864633321,8216056893,8186965870,8657454114,9722383560,
Perú,PER,"Computadoras, comunicaciones y otros servicios (% de importaciones de servicios comerciales)",TM.VAL.OTHR.ZS.WT,27.83182486,28.90632099,30.86566317,30.91564078,30.70117438,29.6806417,30.37510107,29.79415562,29.45863087,
Perú,PER,Índice del valor de las importaciones (2000 = 100),TM.VAL.MRCH.XD.WD,404.9952271,509.0626816,573.7679552,588.9398661,571.0842127,511.4518463,488.9275631,537.8899977,583.4353123,
Perú,PER,Mercaderías importadas desde economías en desarrollo dentro de la región (% del total de mercaderías importadas),TM.VAL.MRCH.WR.ZS,26.37103213,25.92941089,25.68587413,23.23447555,21.48314021,19.76692433,21.21986501,22.55147555,21.32462312,
Perú,PER,Mercaderías importadas por la economía informante (US$ actuales),TM.VAL.MRCH.WL.CD,31933043845,40290775478,45098673673,46290022964,44886803141,40176781470,37694340800,41744530653,44247821794,
Perú,PER,"Mercaderías importadas por la economía informante, excedente (% del total de mercaderías importadas)",TM.VAL.MRCH.RS.ZS,0.142328797,0.053029049,0.123132699,0.133662965,0.145169871,0.161789844,0.252771583,0.24367505,0.26321815,
Perú,PER,Mercaderías importadas desde economías en desarrollo de África al sur del Sahara (% del total de mercaderías importadas),TM.VAL.MRCH.R6.ZS,3.10038865,3.075002135,3.33636604,3.28279045,1.424210726,0.329716292,0.265696051,0.4720152,0.135572307,
Perú,PER,Mercaderías importadas desde economías en desarrollo de Asia meridional (% del total de mercaderías importadas),TM.VAL.MRCH.R5.ZS,1.754710947,1.67960103,1.874013531,1.804250837,2.152391192,2.691080347,2.518839756,2.341870414,2.313738624,
Perú,PER,Mercaderías importadas desde economías en desarrollo de Oriente Medio y Norte de África (% del total de mercaderías importadas),TM.VAL.MRCH.R4.ZS,0.123354129,0.070688788,0.117020189,0.099989,0.081238802,0.125834771,0.20961597,0.252567683,0.193583375,
Perú,PER,Mercaderías importadas desde economías en desarrollo de América Latina y el Caribe (% del total de mercaderías importadas),TM.VAL.MRCH.R3.ZS,26.37103213,25.92941089,25.68587413,23.23447555,21.48314021,19.76692433,21.21986501,22.55147555,21.32462312,
Perú,PER,Mercaderías importadas desde economías en desarrollo de Europa y Asia central (% del total de mercaderías importadas),TM.VAL.MRCH.R2.ZS,1.426492608,2.435862731,1.636088257,1.700952295,1.566957631,1.607990746,1.310171536,1.253376763,1.277519713,
Perú,PER,Mercaderías importadas desde economías en desarrollo de Asia oriental y el Pacífico (% del total de mercaderías importadas),TM.VAL.MRCH.R1.ZS,19.38606436,19.39177325,20.85622994,22.04059346,24.24405284,26.512689,26.82976336,26.08593561,27.12263789,
Perú,PER,Mercaderías importadas desde economías en desarrollo fuera de la región (% del total de mercaderías importadas),TM.VAL.MRCH.OR.ZS,25.79101069,26.65292794,27.81971795,28.92857604,29.46885119,31.26731115,31.13408667,30.40576567,31.04305191,
Perú,PER,Mercaderías importadas desde economías de ingreso alto (% del total de mercaderías importadas),TM.VAL.MRCH.HI.ZS,47.69562838,47.36463213,46.37127521,47.70328544,48.90283873,48.80397467,47.39327674,46.79908373,47.36910682,
Perú,PER,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,30030000000,37747000000,42545000000,43670000000,42346000000,37924000000,36254000000,39885000000,43262000000,
Perú,PER,Importaciones de mercadería desde economías del mundo árabe (% del total de importaciones de mercadería),TM.VAL.MRCH.AL.ZS,0.295357917,0.389632421,0.496380842,0.470242722,0.571167372,0.557439486,0.883537804,0.77981204,1.935347966,
Perú,PER,Importaciones de minerales y metales (% de importaciones de mercaderías),TM.VAL.MMTL.ZS.UN,1.285789436,1.081506063,0.975495344,1.024474925,1.224691562,1.023783282,0.986713729,1.180255527,1.236796091,
Perú,PER,Importaciones de productos manufacturados (% de importaciones de mercaderías),TM.VAL.MANF.ZS.UN,72.4681088,71.26067795,73.15898863,72.38457963,72.77943777,76.16930495,74.8455476,71.10611775,70.03711422,
Perú,PER,Seguro y servicios financieros (% de las importaciones de servicios comerciales),TM.VAL.INSF.ZS.WT,8.965290221,10.07618884,11.22132104,11.72931277,13.24226515,13.61648484,13.23674749,12.71457682,13.14937181,
Perú,PER,Importaciones de bienes de tecnologías de la información y la comunicación (TIC) (% del total de importaciones de bienes),TM.VAL.ICTG.ZS.UN,7.496648403,7.425059092,7.836450312,7.846361968,8.998868249,9.577278953,9.693010029,8.862664697,,
Perú,PER,Importaciones de combustibles (% de importaciones de mercaderías),TM.VAL.FUEL.ZS.UN,14.25144872,15.74302021,14.48384288,15.49419519,14.2432037,10.39632049,11.39993186,14.29048235,15.99904971,
Perú,PER,Importaciones de alimentos (% de importaciones de mercaderías),TM.VAL.FOOD.ZS.UN,10.322202,10.17616639,10.00817256,9.848832679,10.51782321,11.20209421,11.61667334,12.1221138,11.36067914,
Perú,PER,Importaciones de materias primas para la actividad agrícola (% de mercaderías  importadas),TM.VAL.AGRI.ZS.UN,1.654308262,1.718862579,1.356374659,1.235938719,1.224542845,1.186181491,1.103431434,1.288559347,1.353306224,
Perú,PER,Import unit value index (2000 = 100),TM.UVI.MRCH.XD.WD,165.8370376,188.4243349,188.4929929,187.5066126,184.6537901,167.654488,162.6687592,171.4013926,171.521511,
Perú,PER,"Tasa arancelaria, nación más favorecida, promedio ponderado, productos primarios (%)",TM.TAX.TCOM.WM.FN.ZS,1.76,1.05,,0.75,0.75,0.62,,0.69,0.67,
Perú,PER,"Tasa arancelaria, aplicada, promedio ponderado, productos primarios (%)",TM.TAX.TCOM.WM.AR.ZS,1.38,0.67,,0.44,0.43,0.62,,0.1,0.08,
Perú,PER,"Participación de líneas arancelarias con tasas específicas, productos primarios (%)",TM.TAX.TCOM.SR.ZS,0,0,,0,0,0,,0,0,
Perú,PER,"Tasa arancelaria, nación más favorecida, media simple, productos primarios (%)",TM.TAX.TCOM.SM.FN.ZS,4.87,2.94,,2.72,2.72,1.49,,1.51,1.51,
Perú,PER,"Tasa arancelaria, aplicada, media simple, productos primarios (%)",TM.TAX.TCOM.SM.AR.ZS,3.7,1.83,,1.8,1.75,1.76,,0.54,0.44,
Perú,PER,"Participación de líneas arancelarias con máximos internacionales, productos primarios (%)",TM.TAX.TCOM.IP.ZS,1.173709,0,,0,0,0,,0,0,
Perú,PER,"Tasa consolidada, media simple, productos primarios (%)",TM.TAX.TCOM.BR.ZS,30.49,30.49,,30.48,30.48,30.48,,30.48,30.48,
Perú,PER,"Cobertura obligatoria, productos primarios (%)",TM.TAX.TCOM.BC.ZS,100,100,,100,100,100,,100,100,
Perú,PER,"Tasa arancelaria, nación más favorecida, promedio ponderado, todos los productos (%)",TM.TAX.MRCH.WM.FN.ZS,2.83,1.88,,1.86,1.86,1.8,,1.97,1.97,
Perú,PER,"Tasa arancelaria, aplicada, promedio ponderado, todos los productos (%)",TM.TAX.MRCH.WM.AR.ZS,2.52,1.51,,1.52,1.43,1.8,,0.8,0.71,
Perú,PER,"Participación de líneas arancelarias con tasas específicas, todos los productos (%)",TM.TAX.MRCH.SR.ZS,0,0,,0,0,0,,0,0,
Perú,PER,"Tasa arancelaria, nación más favorecida, media simple, todos los productos (%)",TM.TAX.MRCH.SM.FN.ZS,5.36,3.67,,3.36,3.36,2.44,,2.46,2.46,
Perú,PER,"Tasa arancelaria, aplicada, media simple, todos los productos (%)",TM.TAX.MRCH.SM.AR.ZS,4.74,3.12,,2.88,2.8,2.81,,1.38,1.25,
Perú,PER,"Participación de líneas arancelarias con máximos internacionales, todos los productos (%)",TM.TAX.MRCH.IP.ZS,9.399102,0,,0,0,0,,0,0,
Perú,PER,"Tasa consolidada, media simple, todos los productos (%)",TM.TAX.MRCH.BR.ZS,29.48,29.48,,29.5,29.5,29.5,,29.51,29.51,
Perú,PER,"Cobertura obligatoria, todos los productos (%)",TM.TAX.MRCH.BC.ZS,99.98,99.98,,100,100,100,,100,100,
Perú,PER,"Tasa arancelaria, nación más favorecida, promedio ponderado, productos manufacturados (%)",TM.TAX.MANF.WM.FN.ZS,3.24,2.21,,2.29,2.29,2.17,,2.36,2.38,
Perú,PER,"Tasa arancelaria, aplicada, promedio ponderado, productos manufacturados (%)",TM.TAX.MANF.WM.AR.ZS,2.95,1.85,,1.93,1.81,2.17,,1.01,0.9,
Perú,PER,"Participación de líneas arancelarias con tasas específicas, productos manufacturados (%)",TM.TAX.MANF.SR.ZS,0,0,,0,0,0,,0,0,
Perú,PER,"Tasa arancelaria, nación más favorecida, media simple, productos manufacturados (%)",TM.TAX.MANF.SM.FN.ZS,5.48,3.88,,3.56,3.56,2.75,,2.78,2.78,
Perú,PER,"Tasa arancelaria, aplicada, media simple, productos manufacturados (%)",TM.TAX.MANF.SM.AR.ZS,4.82,3.22,,2.96,2.89,2.89,,1.45,1.32,
Perú,PER,"Participación de líneas arancelarias con máximos internacionales, productos manufacturados (%)",TM.TAX.MANF.IP.ZS,10.25146,0,,0,0,0,,0,0,
Perú,PER,"Tasa consolidada, media simple, productos manufacturados (%)",TM.TAX.MANF.BR.ZS,29.17,29.17,,29.16,29.16,29.16,,29.17,29.17,
Perú,PER,"Cobertura obligatoria, productos manufacturados (%)",TM.TAX.MANF.BC.ZS,99.97,99.97,,100,100,100,,100,100,
Perú,PER,Índice del volumen de las importaciones (2000 = 100),TM.QTY.MRCH.XD.WD,244.2127723,270.1682253,304.3974984,314.0901848,309.272944,305.0630213,300.5663567,313.8189192,340.1528526,
Perú,PER,Comercio de mercaderías (% del PIB),TG.VAL.TOTL.GD.ZS,44.62378793,48.9765657,46.69424727,43.0126995,40.7785547,38.11221271,38.21654514,40.42847684,41.5816669,
Perú,PER,"Turismo internacional, gastos (% del total de importaciones)",ST.INT.XPND.MP.ZS,4.784947124,4.115340684,3.971352688,4.237072151,4.345440371,5.599095449,6.240272569,6.182715951,6.640821167,
Perú,PER,"Turismo internacional, gastos (US$ a precios actuales)",ST.INT.XPND.CD,1648000000,1768000000,1900000000,2105000000,2118000000,2539000000,2700000000,2916000000,3417000000,
Perú,PER,"Turismo internacional, gastos por artículos de viaje (US$ a precios actuales)",ST.INT.TVLX.CD,1276000000,1356000000,1439000000,1592000000,1589000000,1879000000,2042000000,2214000000,2669000000,
Perú,PER,"Turismo internacional, recibos por artículos de viaje (US$ a precios actuales)",ST.INT.TVLR.CD,2008000000,2262000000,2443000000,3000000000,3077000000,3309000000,3486000000,3710000000,3947000000,
Perú,PER,"Turismo internacional, gastos por artículos para el transporte de pasajeros (US$ a precios actuales)",ST.INT.TRNX.CD,372000000,412000000,461000000,513000000,529000000,660000000,658000000,702000000,748000000,
Perú,PER,"Turismo internacional, recibos por artículos para el transporte de pasajeros (US$ a precios actuales)",ST.INT.TRNR.CD,467000000,552000000,631000000,916000000,830000000,831000000,802000000,863000000,947000000,
Perú,PER,"Turismo internacional, recibos (% del total de exportaciones)",ST.INT.RCPT.XP.ZS,6.333791216,5.634620246,5.95682967,8.15364364,8.645723086,10.2541716,9.921631968,8.72220961,8.720746945,
Perú,PER,"Turismo internacional, recibos (US$ a precios actuales)",ST.INT.RCPT.CD,2475000000,2814000000,3074000000,3916000000,3907000000,4140000000,4288000000,4573000000,4894000000,
Perú,PER,"Turismo internacional, número de partidas",ST.INT.DPRT,2058000,2132000,2296000,2364000,2442000,2595000,2751000,2875000,3078000,
Perú,PER,"Turismo internacional, número de arribos",ST.INT.ARVL,2299000,2598000,2846000,3164000,3215000,3456000,3744000,4032000,4419000,
Perú,PER,Necesidades de anticoncepción insatisfechas (% de mujeres casadas entre 15 y 49 años de edad),SP.UWT.TFRT,10.3,9.6,9.3,9,8.6,6.5,6,6.5,,
Perú,PER,Población urbana (% del total),SP.URB.TOTL.IN.ZS,76.43,76.617,76.804,76.989,77.173,77.357,77.539,77.72,77.907,
Perú,PER,Población urbana,SP.URB.TOTL,22185851,22421443,22662393,22922695,23221633,23571246,23979736,24438508,24921870,
Perú,PER,Crecimiento de la población urbana (% anual),SP.URB.GROW,1.06052382,1.05630344,1.068907686,1.142061322,1.295683327,1.494327826,1.7181561,1.895094461,1.958564626,
Perú,PER,Población rural (% de la población total),SP.RUR.TOTL.ZS,23.57,23.383,23.196,23.011,22.827,22.643,22.461,22.28,22.093,
Perú,PER,Crecimiento de la población rural (% anual),SP.RUR.TOTL.ZG,0.014266221,0.015374837,0.022210419,0.100717848,0.254139745,0.446856087,0.676136192,0.852823941,0.8753873,
Perú,PER,Población rural,SP.RUR.TOTL,6841823,6842875,6844395,6851292,6868726,6899488,6946296,7005789,7067386,
Perú,PER,"Población, hombres (% del total)",SP.POP.TOTL.MA.ZS,49.86240375,49.83068457,49.78617464,49.7369415,49.69409484,49.66523785,49.65285884,49.6536908,49.66224451,
Perú,PER,"Población, hombres",SP.POP.TOTL.MA.IN,14473896,14582610,14690301,14808670,14953132,15133363,15355659,15613254,15886583,
Perú,PER,"Población, mujeres (% del total)",SP.POP.TOTL.FE.ZS,50.13759625,50.16931543,50.21382536,50.2630585,50.30590516,50.33476215,50.34714116,50.3463092,50.33775549,
Perú,PER,"Población, mujeres",SP.POP.TOTL.FE.IN,14553778,14681708,14816487,14965317,15137227,15337371,15570373,15831043,16102673,
Perú,PER,"Población, total",SP.POP.TOTL,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,
Perú,PER,Crecimiento de la población (% anual),SP.POP.GROW,0.812933092,0.811930737,0.825138039,0.901475426,1.056972861,1.256186053,1.483160681,1.661934247,1.718246517,
Perú,PER,"Tasa de inactividad por edades, personas menores de 15 años (% de la población en edad de trabajar)",SP.POP.DPND.YG,47.25310045,46.46852801,45.56443743,44.67705618,43.96788273,43.47503786,41.47398821,40.0483353,39.00515975,
Perú,PER,"Tasa de inactividad por edades, personas de 65 años y más (% de la población en edad de trabajar)",SP.POP.DPND.OL,9.759351969,10.01218081,10.28356491,10.58625719,10.93595706,11.34122476,11.56638836,11.86570605,12.23271488,
Perú,PER,Tasa de inactividad por edades (% de la población en edad de trabajar),SP.POP.DPND,57.01245242,56.48070882,55.84800234,55.26331338,54.90383979,54.81626262,53.04037657,51.91404135,51.23787463,
Perú,PER,Proporción de sexos al nacer (mujeres cada 1000 hombres),SP.POP.BRTH.MF,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,
Perú,PER,"Población de 80 años en adelante, varones (% de la población masculina)",SP.POP.80UP.MA.5Y,0.982831233,1.043139883,1.100167988,1.157092433,1.215443875,1.276186757,1.342469074,1.403019422,1.461559994,
Perú,PER,"Población de 80 años en adelante, mujeres (% de la población femenina)",SP.POP.80UP.FE.5Y,1.329372759,1.398359291,1.469511533,1.544497958,1.621551203,1.698915342,1.777510176,1.843062277,1.900242929,
Perú,PER,"Población de 75 a 79 años, varones (% de la población masculina)",SP.POP.7579.MA.5Y,1.102833452,1.137251992,1.181684352,1.232656275,1.286051129,1.339411294,1.364350255,1.388275539,1.412399026,
Perú,PER,"Población de 75 a 79 años, mujeres (% de la población femenina)",SP.POP.7579.FE.5Y,1.311109464,1.349230124,1.390862666,1.432552443,1.474106828,1.518434642,1.537490266,1.564053514,1.598075798,
Perú,PER,"Población de 70 a 74 años, varones (% de la población masculina)",SP.POP.7074.MA.5Y,1.573390833,1.619024526,1.668794828,1.719350894,1.768785923,1.819132757,1.852658769,1.89475545,1.95435936,
Perú,PER,"Población de 70 a 74 años, mujeres (% de la población femenina)",SP.POP.7074.FE.5Y,1.800769161,1.835093279,1.878717818,1.930624118,1.986208313,2.041679364,2.070296958,2.098661339,2.136079477,
Perú,PER,Población de 65 años de edad y más (% del total),SP.POP.65UP.TO.ZS,6.215654758,6.398348323,6.598457955,6.818260517,7.059836009,7.325602987,7.557736473,7.810802455,8.088392792,
Perú,PER,"Población de 65 años de edad y más, total",SP.POP.65UP.TO,1804260,1872433,1946993,2030068,2124330,2232165,2337308,2456052,2587417,
Perú,PER,"Población de 65 años de edad y más, hombres (% del total)",SP.POP.65UP.MA.ZS,5.712227231,5.89263594,6.088846914,6.304543217,6.542987833,6.806985756,7.045636134,7.308431202,7.599530346,
Perú,PER,"Población de 65 años de edad y más, hombres",SP.POP.65UP.MA.IN,826782,859300,894470,933619,978382,1030126,1081904,1141084,1207306,
Perú,PER,"Población de 65 años de edad y más, mujeres (% del total)",SP.POP.65UP.FE.ZS,6.716323408,6.900247151,7.10341749,7.326581009,7.570557474,7.837319479,8.063177669,8.30678002,8.571114693,
Perú,PER,"Población de 65 años de edad y más, mujeres",SP.POP.65UP.FE.IN,977479,1013074,1052477,1096446,1145972,1202039,1255467,1315050,1380179,
Perú,PER,"Población de 65 a 69 años, varones (% de la población masculina)",SP.POP.6569.MA.5Y,2.053171713,2.093219539,2.138199746,2.195443615,2.272706906,2.372254948,2.486158036,2.622380791,2.771211966,
Perú,PER,"Población de 65 a 69 años, mujeres (% de la población femenina)",SP.POP.6569.FE.5Y,2.275072024,2.317564457,2.364325473,2.41890649,2.488691131,2.57829013,2.677880269,2.80100289,2.936716489,
Perú,PER,"Población de 50 a 64 años, varones (% de la población masculina)",SP.POP.6064.MA.5Y,2.550459969,2.660662619,2.799288946,2.95169654,3.096112669,3.21903952,3.337088517,3.437892995,3.532590103,
Perú,PER,"Población de 50 a 64 años, mujeres (% de la población femenina)",SP.POP.6064.FE.5Y,2.818044328,2.924578383,3.059206743,3.207296124,3.346080268,3.461955091,3.559072919,3.627947721,3.678853915,
Perú,PER,"Población de 55 a 59 años, varones (% de la población masculina)",SP.POP.5559.MA.5Y,3.421400136,3.532571129,3.628557126,3.712602145,3.792247487,3.872436831,4.004028221,4.145323957,4.29642314,
Perú,PER,"Población de 55 a 59 años, mujeres (% de la población femenina)",SP.POP.5559.FE.5Y,3.751272607,3.848592255,3.932544608,4.007640066,4.083956157,4.169416486,4.257386222,4.345683077,4.433784244,
Perú,PER,"Población de 50 a 54 años, varones (% de la población masculina)",SP.POP.5054.MA.5Y,4.186142241,4.28605089,4.393960042,4.498749719,4.586930181,4.655355897,4.809294761,4.960977067,5.119438178,
Perú,PER,"Población de 50 a 54 años, mujeres (% de la población femenina)",SP.POP.5054.FE.5Y,4.522749106,4.612706453,4.721935455,4.842336774,4.959360475,5.063832961,5.142046996,5.205607413,5.262696056,
Perú,PER,"Población de 45 a 49 años, varones (% de la población masculina)",SP.POP.4549.MA.5Y,5.113825929,5.167409012,5.214794087,5.262471242,5.314208964,5.369308148,5.558106551,5.753310248,5.956666463,
Perú,PER,"Población de 45 a 49 años, mujeres (% de la población femenina)",SP.POP.4549.FE.5Y,5.449044479,5.535964281,5.625125198,5.711232559,5.790291674,5.863044091,5.917217793,5.952014283,5.970112549,
Perú,PER,"Población de 40 a 44 años, varones (% de la población masculina)",SP.POP.4044.MA.5Y,5.830640382,5.883282332,5.951245931,6.021364511,6.078844454,6.119233891,6.331749574,6.536875238,6.743701463,
Perú,PER,"Población de 40 a 44 años, mujeres (% de la población femenina)",SP.POP.4044.FE.5Y,6.289458389,6.342444127,6.406423709,6.474597663,6.533895162,6.57511514,6.580233296,6.585996476,6.610515344,
Perú,PER,"Población de 35 a 39 años, varones (% de la población masculina)",SP.POP.3539.MA.5Y,6.668203226,6.694927272,6.721127993,6.746493777,6.771361302,6.797661987,7.047869838,7.29588417,7.538245943,
Perú,PER,"Población de 35 a 39 años, mujeres (% de la población femenina)",SP.POP.3539.FE.5Y,6.998188306,7.015254222,7.032550494,7.043392869,7.041240163,7.023170981,7.068288336,7.125556596,7.198367874,
